id;Device;SpawnOrder;ObjectName;SpawnID;LandOnTable;Distance;ObjectRotation;ObjectHeight;ObjectPosAfterGrabLoss;ObjectDistanceToHeadFromGrab;ObjectPosAfterContact;TimeFromSpawnToGrab;TimeFromSpawnToGrabLoss;TimeFromSpawnToContact;TimeFromGrabToGrabLoss;TimeFromGrabToContact;TimeForDevice;TimeForTrainingPhase;DeviceOrder
3;Oculus;10;Cube10x10x10(Clone);6;True;0,00441;"(0,000; 359,145; 0,000)";-0,05204592;"(-0,003; 0,048; 0,004)";0,33448;"(-0,003; 0,048; 0,004)";0,7890567;1,922417;1,922417;1,13336;1,13336;counting;72,34586;Leap-Oculus-LeapHHI
3;Oculus;11;Cube3x3x3(Clone);5;True;0,00101;"(0,000; 359,616; 0,000)";-0,01441863;"(-0,001; 0,016; 0,000)";0,44483;"(-0,001; 0,016; 0,000)";0,8221913;2,055019;2,055019;1,232828;1,232828;counting;72,34586;Leap-Oculus-LeapHHI
3;Oculus;12;Cube3x3x3(Clone);8;True;0,00515;"(0,000; 4,566; 0,000)";-0,0142596;"(0,004; 0,016; 0,001)";0,40186;"(0,004; 0,016; 0,001)";0,8225016;2,122752;2,122752;1,300251;1,300251;counting;72,34586;Leap-Oculus-LeapHHI
3;Oculus;13;Cube3x3x3(Clone);9;True;0,00374;"(-0,001; 1,410; 0,001)";-0,01499453;"(0,001; 0,015; 0,003)";0,48284;"(0,001; 0,015; 0,003)";0,8443733;2,311053;2,311053;1,46668;1,46668;counting;72,34586;Leap-Oculus-LeapHHI
3;Oculus;14;Cube3x3x3(Clone);7;True;0,00606;"(-0,001; 4,699; 0,001)";-0,01516977;"(0,004; 0,015; 0,004)";0,3677;"(0,004; 0,015; 0,004)";0,6886452;2,055605;2,055605;1,366959;1,366959;counting;72,34586;Leap-Oculus-LeapHHI
3;Oculus;15;Cube3x3x3(Clone);6;True;0,00267;"(-0,001; 0,828; 0,001)";-0,01491299;"(0,001; 0,015; 0,002)";0,3504;"(0,001; 0,015; 0,002)";0,7224614;2,300042;2,300042;1,577581;1,577581;counting;72,34586;Leap-Oculus-LeapHHI
3;Oculus;16;Cube3x3x3(Clone);3;True;0,00332;"(0,000; 359,337; 0,000)";-0,01590016;"(0,003; 0,014; -0,001)";0,58058;"(0,003; 0,014; -0,001)";0,7551256;2,588323;2,588323;1,8332;1,8332;counting;72,34586;Leap-Oculus-LeapHHI
3;Oculus;17;Cube3x3x3(Clone);2;True;0,00457;"(0,000; 356,554; 0,000)";-0,0160878;"(0,003; 0,014; 0,004)";0,57413;"(0,003; 0,014; 0,004)";0,9552591;2,822023;2,822023;1,866764;1,866764;counting;72,34586;Leap-Oculus-LeapHHI
3;Oculus;18;Cube3x3x3(Clone);4;True;0,0018;"(-0,001; 0,312; 0,001)";-0,01521686;"(-0,001; 0,015; -0,002)";0,51694;"(-0,001; 0,015; -0,002)";0,7334822;2,27781;2,27781;1,544328;1,544328;counting;72,34586;Leap-Oculus-LeapHHI
3;Oculus;19;Cube3x3x3(Clone);1;True;0,00216;"(0,000; 0,634; 0,000)";-0,0156286;"(0,002; 0,014; 0,000)";0,5727;"(0,002; 0,014; 0,000)";0,9887592;2,655431;2,655431;1,666671;1,666671;counting;72,34586;Leap-Oculus-LeapHHI
3;Oculus;20;Cube3x3x3(Clone);10;True;0,00341;"(-0,001; 3,053; 0,001)";-0,01538458;"(0,003; 0,015; 0,001)";0,57487;"(0,003; 0,015; 0,001)";0,8220764;2,821887;2,821887;1,999811;1,999811;counting;72,34586;Leap-Oculus-LeapHHI
3;Oculus;21;Cube6x6x6(Clone);8;True;0,00289;"(0,000; 3,083; 0,000)";-0,03112369;"(0,002; 0,029; 0,000)";0,49618;"(0,002; 0,029; 0,000)";0,7774555;2,499905;2,499905;1,722451;1,722451;counting;72,34586;Leap-Oculus-LeapHHI
3;Oculus;22;Cube6x6x6(Clone);5;True;0,00801;"(0,002; 357,455; -0,002)";-0,03168255;"(0,004; 0,028; 0,008)";0,45076;"(0,004; 0,028; 0,008)";0,7334293;1,844534;1,844534;1,111105;1,111105;counting;72,34586;Leap-Oculus-LeapHHI
3;Oculus;23;Cube6x6x6(Clone);6;True;0,00556;"(-0,002; 1,991; 0,002)";-0,03109711;"(0,005; 0,029; 0,000)";0,36159;"(0,005; 0,029; 0,000)";0,6779735;2,25554;2,25554;1,577567;1,577567;counting;72,34586;Leap-Oculus-LeapHHI
3;Oculus;24;Cube6x6x6(Clone);3;True;0,0091;"(0,000; 3,252; 0,000)";-0,02988869;"(0,009; 0,030; 0,005)";0,62924;"(0,009; 0,030; 0,005)";0,7668197;1,95555;1,95555;1,18873;1,18873;counting;72,34586;Leap-Oculus-LeapHHI
3;Oculus;25;Cube6x6x6(Clone);10;True;0,00456;"(0,000; 1,042; 0,000)";-0,0311945;"(0,000; 0,029; 0,005)";0,59412;"(0,000; 0,029; 0,005)";0,8002422;2,000022;2,000022;1,199781;1,199781;counting;72,34586;Leap-Oculus-LeapHHI
3;Oculus;26;Cube6x6x6(Clone);1;True;0,00381;"(0,000; 1,942; 0,000)";-0,03121298;"(0,001; 0,029; 0,004)";0,58053;"(0,001; 0,029; 0,004)";0,8556473;2,110904;2,110904;1,255257;1,255257;counting;72,34586;Leap-Oculus-LeapHHI
3;Oculus;27;Cube6x6x6(Clone);2;True;0,00282;"(0,000; 359,445; 0,000)";-0,0311138;"(0,001; 0,029; 0,003)";0,59216;"(0,001; 0,029; 0,003)";0,7225171;2,433217;2,433217;1,710701;1,710701;counting;72,34586;Leap-Oculus-LeapHHI
3;Oculus;28;Cube6x6x6(Clone);9;True;0,00497;"(-0,002; 2,288; 0,002)";-0,03180235;"(0,005; 0,028; 0,000)";0,54382;"(0,005; 0,028; 0,000)";0,7779579;2,244543;2,244543;1,466586;1,466586;counting;72,34586;Leap-Oculus-LeapHHI
3;Oculus;29;Cube6x6x6(Clone);4;True;0,00223;"(0,002; 359,738; -0,002)";-0,0320279;"(0,000; 0,028; 0,003)";0,58607;"(0,000; 0,028; 0,003)";0,655498;2,588449;2,588449;1,932952;1,932952;counting;72,34586;Leap-Oculus-LeapHHI
3;Oculus;30;Cube6x6x6(Clone);7;True;0,00545;"(0,000; 3,711; 0,000)";-0,03060597;"(0,002; 0,029; 0,004)";0,38646;"(0,002; 0,029; 0,004)";0,6223361;1,81148;1,81148;1,189144;1,189144;97,14738;72,34586;Leap-Oculus-LeapHHI
3;Leap_HHI;1;Cube3x3x3(Clone);4;True;0,01804;"(0,000; 354,643; 0,000)";-0,003285555;"(-0,001; 0,027; -0,004)";0,54163;"(-0,004; 0,023; -0,006)";1,010995;3,166698;3,199638;2,155703;2,188643;counting;41,91188;LeapHHI-Oculus-Leap
3;Leap_HHI;2;Cube3x3x3(Clone);5;True;0,01209;"(0,000; 359,847; 0,000)";0,01674721;"(0,000; 0,047; 0,005)";0,40846;"(0,001; 0,015; 0,012)";0,807534;2,757865;2,854472;1,95033;2,046937;counting;41,91188;LeapHHI-Oculus-Leap
